"airport_id","latitude","longitude"
"KTOI",31.86,-86.0138889
"KPRN",31.8456944,-86.61075
"KMGM",32.3006389,-86.3939722
"KEUF",31.9513056,-85.1289167
"KDHN",31.3210278,-85.4494722
"KEDN",31.2997222,-85.8998333
"KBGE",30.9715981,-84.6369278
"KVPS",30.4832194,-86.5260443
"KBIJ",31.3975086,-84.8947978
"KOZR",31.275775,-85.71335
"KLSF",32.3317806,-84.9871522
"KEGI",30.6485869,-86.5219594
"KDTS",30.4000547,-86.4714722
"KCEW",30.7788311,-86.5221128
"KMAI",30.8382214,-85.1822236
"KECP",30.35825,-85.7956111
"KHRT",30.4289181,-86.6888011
