"airport_id","latitude","longitude"
"W96",37.5034294,-77.1265583
"W94",37.3127943,-76.6382172
"W75",37.6022708,-76.4467292
"VG64",37.5615,-76.8525278
"VG42",37.2523611,-77.1526667
"VG39",37.2208333,-76.0075
"VG37",36.5893183,-76.6380083
"VG33",37.1545861,-75.9568744
"VG30",37.2270839,-75.9768758
"VG28",36.5490406,-77.1913561
"VG20",37.6751311,-75.7099289
"VG09",37.2277778,-75.9833333
"VA92",37.7238889,-75.7861111
"VA91",37.7048525,-75.7265961
"VA56",37.0034831,-76.8274594
"VA50",37.7151425,-77.3024783
"VA33",37.0443167,-76.76825
"VA08",37.7170794,-76.358835
"9VG",37.4584694,-75.8788194
"9VA3",37.7629056,-75.5718722
"9VA1",37.4054158,-76.3882786
"92VA",37.3447222,-76.5644444
"62VA",36.6698731,-76.7285675
"53VG",37.6138889,-75.8011111
"4VA8",37.6137556,-77.2958111
"42VA",36.6789042,-76.0327764
"3VG2",37.3883333,-75.8925
"3VA8",36.8562603,-76.6821781
"31VA",37.0237592,-76.5885647
"2VA8",36.6837617,-76.8299589
"2VA6",37.6237517,-76.601065
"2VA5",37.6306956,-76.5649525
"2VA2",37.1459817,-76.7899594
"24VA",37.2881933,-75.9996553
"21VA",37.3031936,-75.9349306
"0VI1",37.6888889,-77.1013889
"0VA9",37.4473606,-76.4538367
"0VA3",37.6987536,-77.0952497
"04VG",37.7144333,-77.2118167
"NC66",36.1312672,-77.2957994
"NC61",36.4594444,-76.2108333
"NC36",36.2088889,-75.8644444
"NC28",36.2001581,-76.2357667
"NC01",36.0962222,-76.3270556
"9NC4",36.5094444,-76.6641667
"86NC",36.2625167,-76.4914417
"7NC2",36.2534953,-75.7885236
"54NC",36.2394444,-76.4172222
"1NC3",36.1807142,-76.1490956
"16NC",36.1961111,-76.6652778
"15NC",36.2397222,-76.9738889
"5VA4",37.7215889,-77.2203403
"VA05",37.3386556,-77.1978056
"VA20",37.5675931,-75.7938597
"5VG2",37.4544361,-76.3721917
"3NR4",36.2808333,-76.3366667
