"lid","latitude","longitude"
"00MD",38.7570578,-75.7538208
"00NC",36.0851503,-78.3713856
"02MD",38.6725444,-76.7097389
"02VA",38.4356828,-77.8572164
"04VG",37.7144333,-77.2118167
"05N",35.4821847,-77.3557743
"05VA",37.2241667,-78.4186111
"0MD2",38.2879061,-76.8674697
"0VA0",38.5248556,-77.6873556
"0VA3",37.6987536,-77.0952497
"0VA9",37.4473606,-76.4538367
"0VI1",37.6888889,-77.1013889
"10NC",36.3430556,-77.5094444
"11MD",38.4333333,-75.6277778
"11VG",38.2094444,-77.0005556
"12NC",34.8833333,-76.35
"13NC",35.0334917,-77.2496775
"14VG",37.1680556,-78.5008333
"15NC",36.2397222,-76.9738889
"15VA",38.7223397,-77.8997169
"16NC",36.1961111,-76.6652778
"19NC",36.0648747,-77.9230389
"1MD1",38.5690094,-76.2863356
"1N5",38.4127693,-75.6169308
"1NC3",36.1807142,-76.1490956
"1NC4",34.9954356,-77.2577333
"1NC5",35.9331944,-78.3485833
"1VA0",37.6293131,-77.7474936
"1VA8",36.8619444,-78.4111111
"1VG2",38.1276667,-76.6891667
"20VA",38.0823564,-77.4883161
"21VA",37.3031936,-75.9349306
"23NR",35.5605556,-76.2347222
"23VA",37.5570892,-78.6200083
"23VG",36.7097222,-78.4280556
"24VA",37.2881933,-75.9996553
"25VA",37.8215833,-77.1126389
"29VA",38.5292911,-77.7388806
"2MD0",38.0487342,-75.70354
"2MD1",38.3084583,-76.7246861
"2MD4",38.3945614,-75.5574233
"2MD6",38.1440156,-76.472175
"2NC4",35.3379406,-78.1547158
"2NC7",36.1679333,-77.3988583
"2VA1",37.8959636,-76.3552247
"2VA2",37.1459817,-76.7899594
"2VA3",37.3168278,-77.86655
"2VA5",37.6306956,-76.5649525
"2VA6",37.6237517,-76.601065
"2VA8",36.6837617,-76.8299589
"2VA9",38.7578944,-77.7872153
"2VG7",38.1638889,-77.85
"2VG8",37.8722222,-76.7311111
"2W5",38.5970486,-77.0724583
"2W6",38.3153611,-76.5501111
"31VA",37.0237592,-76.5885647
"3MD5",38.6212267,-75.8413233
"3MD6",38.1890147,-76.4468961
"3MD8",38.6123414,-76.1710544
"3MD9",38.1181817,-76.3913383
"3NR4",36.2808333,-76.3366667
"3VA0",38.7759492,-77.9105503
"3VA1",38.7742828,-77.7997156
"3VA2",38.6242878,-77.7861042
"3VA3",38.5504014,-77.7158244
"3VA4",37.8576367,-76.7357917
"3VA8",36.8562603,-76.6821781
"3VG2",37.3883333,-75.8925
"3VG3",37.9361083,-76.3486083
"3VG4",36.7340083,-78.4081889
"42NC",35.9577778,-78.1705556
"42VA",36.6789042,-76.0327764
"45NC",36.5280556,-77.4547222
"46VA",37.8174667,-78.0485472
"48MD",38.1491667,-75.6622222
